Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Ugly Glutamine	Boss Rush	3	7%	10%	Zeta Phorbas	
Clean Cognate	Chicken Invasion	14	65%	79%	Eta Phorbas	
Aggravating Sonority	Chicken Invasion	20	20%	40%	Rho Phorbas	
Smug Protectant	Chicken Invasion	9	98%	100%	Rho Phorbas	
Scientific Reductase	Boss Rush	4	27%	31%	Rho Phorbas	
Cluttered Eeriness	Squawk Block	11	0%	11%	Rho Phorbas	
Idle Obligation	Chicken Invasion	21	8%	29%	Rho Phorbas	
Simple Franchiser	Supernova	12	85%	97%	Cilix	
Frosty Microscopist	Chicken Invasion	10	45%	55%	Cilix	
Motherly Comradeship	Chicken Invasion	12	37%	49%	Cilix	
Little Preclusion	Chicken Invasion	24	26%	50%	Cilix	
Oblong Corkboard	Meteor Storm	14	64%	78%	Hottentot	
Smooth Pizzicato	Meteor Storm	7	96%	100%	Hottentot	
Wide Pizzicato	Chicken Invasion	5	30%	35%	Beta Cilix	
Kaleidoscopic Delivery	Chicken Invasion	21	52%	73%	Beta Cilix	
Wiggly Promotion	Supernova	11	35%	46%	Anaxo	
Funny Bonus	Supernova	8	67%	75%	Anaxo	
Sneaky Demineralization	Supernova	10	27%	37%	Anaxo	
Third Mansard	Chicken Invasion	8	73%	81%	Anaxo	
Gregarious Furrier	Chicken Invasion	8	54%	62%	Anaxo	
Knobby Hypercar	Chicken Invasion	15	39%	54%	Alpha Anaxo	
Nautical Groats	Feather Fields	7	71%	78%	Alpha Anaxo	
Rusty Pinafore	Chicken Invasion	18	76%	94%	Psi Anaxo	
Honorable Gearhead	Comet Chase	5	94%	99%	Psi Anaxo	
Well-groomed Destructor	Squawk Block	9	78%	87%	Psi Anaxo	
Fabulous Enumerator	Comet Chase	10	58%	68%	Chi Anaxo	
Webbed Oysterman	Double Team	6	54%	60%	Chi Anaxo	U.C.O. 4 + Party Time
Troubled Citron	Double Team	10	97%	100%	Chi Anaxo	Super-Chick + Chef
Excellent Tunesmith	Chicken Invasion	6	43%	49%	Chi Anaxo	
Foolish Tongue	Chicken Invasion	8	64%	72%	Chi Anaxo	
Marvelous Thermoregulation	Comet Chase	10	43%	53%	Epsilon Anaxo	
Lumpy Tennis	Chicken Invasion	40	43%	83%	Epsilon Anaxo	
Likable Plaice	Chicken Invasion	28	80%	100%	Epsilon Anaxo	
Healthy Subclass	Darkness	15	25%	40%	Zeta Anaxo	
Terrific Tablespoonful	Supernova	8	8%	16%	Tityos	
Miserable Susurration	Supernova	14	77%	91%	Tityos	
Trusty Sureness	Supernova	12	30%	42%	Tityos	
Ironclad Newspeak	Feather Fields	6	62%	68%	Tityos	
Terrible Pasturage	Chicken Invasion	12	50%	62%	Tityos	
Incomparable Agreement	Comet Chase	6	4%	10%	Tityos	
Third Horizontality	Feather Fields	13	57%	70%	Tityos	
Woozy Improvement	Chicken Invasion	9	18%	27%	Tityos	
Classic Ostinato	Chicken Invasion	20	53%	73%	Alpha Tityos	
Tense Ambition	Chicken Invasion	15	55%	70%	Alpha Tityos	
Vain Argument	Darkness	21	93%	100%	Alpha Tityos	
Vivacious Protectant	Chicken Invasion	24	91%	100%	Alpha Tityos	
Oblong Bluebonnet	Squawk Block	7	85%	92%	Alpha Tityos	
Agonizing Mud	Boss Rush	9	41%	50%	Alpha Tityos	
Prickly Diamond	Squawk Block	11	84%	95%	Gamma Tityos	
Drab Gorget	Boss Rush	8	89%	97%	Delta Tityos	
Every Nonperformance	Boss Rush	10	40%	50%	Delta Tityos	
Winged Passenger	Chicken Invasion	6	49%	55%	Delta Tityos	
Innocent Lacework	Squawk Block	14	6%	20%	Delta Tityos	
Dependent Debe	Supernova	14	43%	57%	Callithyia	
Adored Elevator	Squawk Block	6	81%	87%	Callithyia	
Intrepid Bathroom	Chicken Invasion	10	9%	19%	Callithyia	
Pointless Sympathy	Chicken Invasion	30	74%	100%	Callithyia	
Stupendous Gastronome	Boss Rush	9	18%	27%	Callithyia	
Incomplete Ostentation	Chicken Invasion	16	13%	29%	Alpha Callithyia	
Graceful Upright	Darkness	12	97%	100%	Alpha Callithyia	
Murky Invalidation	Chicken Invasion	40	88%	100%	Alpha Callithyia	
Overjoyed Cioppino	Feather Fields	9	16%	25%	Alpha Callithyia	
Unkempt Dowser	Chicken Invasion	40	26%	66%	Alpha Callithyia	
Heavy Tyrannosaur	Chicken Invasion	5	56%	61%	Alpha Callithyia	
Amused Surmise	Chicken Invasion	24	96%	100%	Gamma Callithyia	
Brown Substitutability	Squawk Block	5	14%	19%	Gamma Callithyia	
Amusing Subjectivist	Chicken Invasion	14	42%	56%	Gamma Callithyia	
Evil Desk	Chicken Invasion	9	19%	28%	Gamma Callithyia	
Shady Wallboard	Chicken Invasion	5	8%	13%	Gamma Callithyia	
Vengeful Mudflat	Boss Rush	6	72%	78%	Gamma Callithyia	
Last Ear	Chicken Invasion	27	45%	72%	Delta Callithyia	
Peaceful Subroutine	Squawk Block	17	95%	100%	Upsilon Callithyia	
Definitive Retinol	Chicken Invasion	12	79%	91%	Upsilon Callithyia	
Wide-eyed Creel	Comet Chase	12	29%	41%	Upsilon Callithyia	
Stark Poem	Chicken Invasion	12	12%	24%	Upsilon Callithyia	
Afraid Wainscot	Chicken Invasion	20	89%	100%	Zeta Callithyia	
Standard Gringa	Boss Rush	9	56%	65%	Zeta Callithyia	
Passionate Poplin	Darkness	18	77%	95%	Eta Callithyia	
Loathsome Glissando	Boss Rush	10	39%	49%	Rho Callithyia	
Quarterly Region	Comet Chase	11	27%	38%	Rho Callithyia	
Sticky Deaconess	Darkness	9	1%	10%	Rho Callithyia	
Guilty Lox	Chicken Invasion	9	21%	30%	Rho Callithyia	
Jumpy Reoccupation	Chicken Invasion	5	39%	44%	Rho Callithyia	
Disastrous Confusion	Chicken Invasion	8	86%	94%	Rho Callithyia	
Drab Mom	Supernova	11	13%	24%	Auge	
Pink Cioppino	Supernova	10	98%	100%	Auge	
Fond Trouper	Chicken Invasion	18	19%	37%	Auge	
Treasured Guest	Chicken Invasion	40	62%	100%	Auge	
Spherical Committee	Chicken Invasion	10	53%	63%	Auge	
Ample Tussock	Chicken Invasion	14	40%	54%	Auge	
Black-and-white Horizontality	Chicken Invasion	15	39%	54%	Alpha Auge	
Ignorant Database	Boss Rush	8	93%	100%	Alpha Auge	
Posh Databank	Chicken Invasion	36	28%	64%	Alpha Auge	
Uncommon Sidelock	Chicken Invasion	9	0%	9%	Alpha Auge	
Mindless Baluster	Chicken Invasion	6	93%	99%	Alpha Auge	
Miserly Incompetence	Chicken Invasion	14	63%	77%	Alpha Auge	
Evergreen Editor	Feather Fields	10	21%	31%	Psi Auge	
Nifty Granita	Feather Fields	10	58%	68%	Psi Auge	
Aromatic Anhydride	Darkness	16	74%	90%	Psi Auge	
Fitting Reflection	Darkness	6	92%	98%	Psi Auge	
Glossy Ganache	Boss Rush	6	47%	53%	Chi Auge	
Square Truckstop	Squawk Block	20	68%	88%	Chi Auge	
Untried Exceptionality	Darkness	18	83%	100%	Chi Auge	
Energetic Debe	Chicken Invasion	7	13%	20%	Chi Auge	
Elementary Glutamine	Boss Rush	5	54%	59%	Chi Auge	
Brief Refit	Chicken Invasion	14	74%	88%	Chi Auge	
Responsible Pasteboard	Supernova	11	75%	86%	Triton	
Petty Depressant	Chicken Invasion	21	35%	56%	Triton	
Splendid Knapweed	Boss Rush	3	31%	34%	Triton	
Peppery Warning	Comet Chase	5	91%	96%	Triton	
Substantial Requirement	Boss Rush	4	91%	95%	Alpha Triton	
Scary Banyan	Chicken Invasion	12	70%	82%	Alpha Triton	
Appropriate Dabbler	Chicken Invasion	36	35%	71%	Psi Triton	
Fearful Ceramicist	Darkness	5	6%	11%	Psi Triton	
Deep Dockyard	Chicken Invasion	6	30%	36%	Psi Triton	
Productive Sullenness	Chicken Invasion	7	50%	57%	Psi Triton	
Uncomfortable Appurtenance	Comet Chase	8	69%	77%	Chi Triton	
Honest Inspection	Comet Chase	6	84%	90%	Delta Triton	
Bleak Argument	Chicken Invasion	36	59%	95%	Delta Triton	
Whirlwind Antinomy	Boss Rush	10	9%	19%	Delta Triton	
Honored Catbird	Comet Chase	8	4%	12%	Delta Triton	
Delicious Drama	Feather Fields	12	60%	72%	Delta Triton	
Genuine Majolica	Chicken Invasion	20	37%	57%	Delta Triton	
Familiar Fortune	Chicken Invasion	36	84%	100%	Epsilon Triton	
Sugary Pawnbroker	Squawk Block	7	62%	69%	Epsilon Triton	
Familiar Refit	Comet Chase	5	10%	15%	Epsilon Triton	
Kind Entombment	Squawk Block	10	4%	14%	Tau Triton	
Periodic Nailer	Boss Rush	3	96%	99%	Tau Triton	
Unknown Horizontality	Double Team	6	61%	67%	Tau Triton	Chef + Special Forces
Superb Mapper	Double Team	8	62%	70%	Tau Triton	Infini-Chick + Crab
Ill-informed Penalty	Squawk Block	18	0%	18%	Tau Triton	
Instructive Princedom	Chicken Invasion	8	67%	75%	Sigma Triton	
Big-hearted Apparat	Chicken Invasion	20	16%	36%	Sigma Triton	
Sharp Dreaminess	Feather Fields	13	84%	97%	Sigma Triton	
Klutzy Supermarket	Squawk Block	18	46%	64%	Sigma Triton	
Gummy Photoreceptor	Comet Chase	13	21%	34%	Rho Triton	
Dull Retake	Squawk Block	9	32%	41%	Rho Triton	
Little Contribution	Chicken Invasion	6	33%	39%	Rho Triton	
Ajar Gorget	Comet Chase	5	31%	36%	Rho Triton	
Elliptical Sister	Squawk Block	16	76%	92%	Rho Triton	
Homely Supermarket	Supernova	5	49%	54%	Cleta	
Key Bioweapon	Boss Rush	9	26%	35%	Cleta	
Oval Chocolate	Chicken Invasion	10	27%	37%	Alpha Cleta	
Unsteady Operetta	Chicken Invasion	8	47%	55%	Alpha Cleta	
Ultimate Prearrangement	Chicken Invasion	20	76%	96%	Alpha Cleta	
Circular Obverse	Squawk Block	5	32%	37%	Alpha Cleta	
Difficult Benthos	Darkness	10	79%	89%	Alpha Cleta	
Blond Proposal	Feather Fields	11	59%	70%	Alpha Cleta	
Sneaky Distractor	Chicken Invasion	32	97%	100%	Psi Cleta	
Cooked Centralist	Chicken Invasion	20	8%	28%	Chi Cleta	
Unrealistic Technics	Chicken Invasion	27	19%	46%	Chi Cleta	
Dual Wingspread	Darkness	30	91%	100%	Chi Cleta	
Pristine Football	Boss Rush	5	78%	83%	Chi Cleta	
Taut Reanalysis	Comet Chase	13	40%	53%	Chi Cleta	
Forceful Sidelock	Comet Chase	8	15%	23%	Chi Cleta	
Elderly Metrology	Boss Rush	8	91%	99%	Phi Cleta	
Uncommon Immutability	Darkness	7	1%	8%	Phi Cleta	
Spicy Surfactant	Chicken Invasion	12	77%	89%	Phi Cleta	
Mixed Salver	Darkness	10	42%	52%	Phi Cleta	
Bustling Delivery	Chicken Invasion	27	66%	93%	Phi Cleta	
Jam-packed Champaign	Chicken Invasion	7	12%	19%	Phi Cleta	
Quarterly Penury	Supernova	11	8%	19%	Rhea	
Early Frosh	Squawk Block	5	41%	46%	Rhea	
Worthwhile Jitney	Chicken Invasion	12	0%	12%	Rhea	
Self-reliant Efficiency	Chicken Invasion	20	59%	79%	Rhea	
Watery Supermarket	Squawk Block	11	30%	41%	Alpha Rhea	
Adolescent Plasmid	Feather Fields	5	15%	20%	Beta Rhea	
Boiling Dodo	Supernova	12	93%	100%	Megaera	
Likable Relinquishment	Supernova	6	41%	47%	Megaera	
Exalted Reflectance	Chicken Invasion	30	66%	96%	Megaera	
Grounded Bioscience	Chicken Invasion	28	99%	100%	Megaera	
Handmade Backgrounder	Boss Rush	3	19%	22%	Megaera	
Far Reveller	Boss Rush	8	87%	95%	Megaera	
Mindless Commoditization	Chicken Invasion	5	91%	96%	Megaera	
Muddy Hat	Chicken Invasion	12	67%	79%	Alpha Megaera	
Experienced Incorruptibility	Chicken Invasion	36	11%	47%	Alpha Megaera	
Sneaky Refrigerator	Feather Fields	8	8%	16%	Alpha Megaera	
Dull Tondo	Chicken Invasion	40	50%	90%	Alpha Megaera	
Defiant Grapeseed	Chicken Invasion	10	94%	100%	Alpha Megaera	
Mysterious Surmise	Chicken Invasion	40	73%	100%	Beta Megaera	
Dishonest Sobriquet	Chicken Invasion	18	97%	100%	Beta Megaera	
Awful Profession	Chicken Invasion	10	91%	100%	Beta Megaera	
Soft Exceptionality	Darkness	16	70%	86%	Beta Megaera	
Colorful Substitutability	Darkness	16	64%	80%	Gamma Megaera	
Common Cosmetologist	Boss Rush	6	94%	100%	Gamma Megaera	
Concrete Football	Chicken Invasion	18	50%	68%	Gamma Megaera	
Normal Stranger	Squawk Block	12	49%	61%	Delta Megaera	
Victorious Romper	Chicken Invasion	6	79%	85%	Delta Megaera	
Fixed Interdict	Chicken Invasion	30	95%	100%	Epsilon Megaera	
Grave Delivery	Chicken Invasion	24	85%	100%	Epsilon Megaera	
Memorable Religionist	Darkness	18	89%	100%	Epsilon Megaera	
Focused Carpaccio	Darkness	27	25%	52%	Epsilon Megaera	
Itchy Stalagmite	Chicken Invasion	6	96%	100%	Epsilon Megaera	
Rare Gracefulness	Chicken Invasion	28	5%	33%	Epsilon Megaera	
Jaded Feedback	Supernova	5	87%	92%	Eteocles	
Superior Leadership	Supernova	5	32%	37%	Eteocles	
Mysterious Principalship	Chicken Invasion	15	29%	44%	Eteocles	
Paltry Sharpener	Boss Rush	4	81%	85%	Eteocles	
Uncommon Hoodie	Darkness	15	47%	62%	Alpha Eteocles	
Grotesque Tentativeness	Chicken Invasion	36	51%	87%	Alpha Eteocles	
Negligible Proposer	Boss Rush	3	23%	26%	Alpha Eteocles	
Low Sward	Chicken Invasion	10	74%	84%	Alpha Eteocles	
Triangular Arrival	Supernova	15	61%	76%	Bellerophon	
Fickle Skittle	Supernova	9	13%	22%	Bellerophon	
Staid Antinomy	Chicken Invasion	40	55%	95%	Bellerophon	
Musty Promotion	Feather Fields	7	94%	100%	Bellerophon	
Expensive Surmise	Chicken Invasion	40	27%	67%	Bellerophon	
Enormous Beechnut	Boss Rush	5	69%	74%	Bellerophon	
Secret Relinquishment	Comet Chase	10	97%	100%	Alpha Bellerophon	
Disloyal Suggestion	Squawk Block	8	35%	43%	Alpha Bellerophon	
Adorable Suggestion	Chicken Invasion	36	37%	73%	Alpha Bellerophon	
Uniform Plaice	Chicken Invasion	24	12%	36%	Beta Bellerophon	
Biodegradable Quantity	Chicken Invasion	5	92%	97%	Beta Bellerophon	
Distinct Peoplehood	Boss Rush	7	86%	93%	Gamma Bellerophon	
Bruised Nailer	Chicken Invasion	27	71%	98%	Delta Bellerophon	
Lawful Ratio	Darkness	16	8%	24%	Delta Bellerophon	
Twin Cliffside	Squawk Block	20	0%	20%	Delta Bellerophon	
Mature Greasepaint	Boss Rush	7	39%	46%	Delta Bellerophon	
Frequent Cryopreservation	Chicken Invasion	10	28%	38%	Delta Bellerophon	
Distant Obeisance	Chicken Invasion	10	58%	68%	Delta Bellerophon	
Punctual Cliffside	Boss Rush	6	14%	20%	Epsilon Bellerophon	
Sociable Flutist	Chicken Invasion	10	69%	79%	Epsilon Bellerophon	
Half Tablespoonful	Chicken Invasion	18	61%	79%	Epsilon Bellerophon	
Pink Guano	Boss Rush	5	99%	100%	Epsilon Bellerophon	
Tempting Centurion	Comet Chase	8	71%	79%	Epsilon Bellerophon	
Harsh Contemporaneity	Chicken Invasion	20	29%	49%	Epsilon Bellerophon	
Incompatible Pawnbroker	Supernova	12	83%	95%	Thisbe	
Radiant Businessperson	Supernova	12	36%	48%	Thisbe	
Each Village	Chicken Invasion	18	12%	30%	Thisbe	
Monthly Promotion	Chicken Invasion	10	56%	66%	Thisbe	
Considerate Deactivation	Chicken Invasion	6	53%	59%	Alpha Thisbe	
Darling Editor	Chicken Invasion	20	3%	23%	Alpha Thisbe	
Dependent Penalty	Chicken Invasion	24	23%	47%	Alpha Thisbe	
Mealy Prefect	Chicken Invasion	21	84%	100%	Alpha Thisbe	
Quirky Lodestar	Chicken Invasion	16	0%	16%	Alpha Thisbe	
Vigilant Furball	Chicken Invasion	30	67%	97%	Alpha Thisbe	
Sticky Baseball	Chicken Invasion	18	38%	56%	Beta Thisbe	
High-level Doomsayer	Chicken Invasion	10	33%	43%	Delta Thisbe	
Untidy Bollworm	Comet Chase	5	64%	69%	Delta Thisbe	
Superficial Mud	Chicken Invasion	28	54%	82%	Delta Thisbe	
Silent Nailhead	Chicken Invasion	7	13%	20%	Delta Thisbe	
Outrageous Mall	Squawk Block	6	27%	33%	Delta Thisbe	
Merry Rattletrap	Chicken Invasion	18	3%	21%	Zeta Thisbe	
Gorgeous Heatwave	Chicken Invasion	24	44%	68%	Zeta Thisbe	
Heavenly Profession	Boss Rush	4	23%	27%	Zeta Thisbe	
Outgoing Debenture	Feather Fields	6	26%	32%	Eta Thisbe	
Bony Hidalgo	Boss Rush	10	46%	56%	Eta Thisbe	
Tragic Insouciance	Chicken Invasion	9	43%	52%	Eta Thisbe	
Bite-sized Rehash	Supernova	7	48%	55%	Telemachus	
Euphoric Bibliographer	Squawk Block	18	85%	100%	Telemachus	
Vibrant Police	Chicken Invasion	20	64%	84%	Alpha Telemachus	
Terrible Stromatolite	Boss Rush	10	86%	96%	Alpha Telemachus	
Gleaming Icemaker	Boss Rush	8	37%	45%	Alpha Telemachus	
Cold Airport	Chicken Invasion	27	93%	100%	Alpha Telemachus	
Rare Preapproval	Boss Rush	4	76%	80%	Beta Telemachus	
Secret Moonlet	Boss Rush	8	44%	52%	Beta Telemachus	
Frightened Subjunctive	Boss Rush	9	2%	11%	Beta Telemachus	
Blank Privateer	Squawk Block	13	60%	73%	Beta Telemachus	
Thrifty Drabness	Chicken Invasion	5	77%	82%	Chi Telemachus	
Well-worn Slipknot	Double Team	7	89%	96%	Chi Telemachus	Special Forces + Party Time (Brothers Reunited)
Likable Incorruptibility	Boss Rush	4	69%	73%	Chi Telemachus	
Joint Deadweight	Chicken Invasion	15	80%	95%	Chi Telemachus	
Mountainous Workpiece	Chicken Invasion	40	77%	100%	Delta Telemachus	
Sparse Investiture	Comet Chase	10	73%	83%	Delta Telemachus	
Alarmed Waft	Chicken Invasion	14	3%	17%	Delta Telemachus	
Awkward Estancia	Chicken Invasion	21	35%	56%	Delta Telemachus	
Flawed Hydrofoil	Squawk Block	12	34%	46%	Delta Telemachus	
Tidy Sparker	Chicken Invasion	20	31%	51%	Delta Telemachus	
Confused Disputation	Chicken Invasion	24	86%	100%	Epsilon Telemachus	
Misty Flautist	Darkness	16	42%	58%	Eta Telemachus	
Arid Nailhead	Chicken Invasion	9	84%	93%	Rho Telemachus	
Unripe Belatedness	Chicken Invasion	18	15%	33%	Rho Telemachus	
Mealy Limeade	Boss Rush	4	46%	50%	Rho Telemachus	
Insignificant Farrago	Chicken Invasion	8	79%	87%	Rho Telemachus	
Glorious Portcullis	Squawk Block	5	21%	26%	Rho Telemachus	
Ill-fated Broadtail	Chicken Invasion	28	90%	100%	Pi Telemachus	
Stimulating Fishwife	Chicken Invasion	27	8%	35%	Omicron Telemachus	
Thirsty Rattletrap	Darkness	9	85%	94%	Omicron Telemachus	
Humble Reception	Darkness	27	85%	100%	Omicron Telemachus	
Dependable Prearrangement	Supernova	10	49%	59%	Perseus	
Woozy Euchre	Chicken Invasion	7	88%	95%	Perseus	
Lanky Nailhead	Chicken Invasion	16	20%	36%	Perseus	
Anxious Companionway	Feather Fields	10	60%	70%	Perseus	
Triangular Dodo	Chicken Invasion	8	91%	99%	Perseus	
Wealthy Reputation	Feather Fields	14	26%	40%	Perseus	
Loving Myrrh	Chicken Invasion	20	18%	38%	Alpha Perseus	
Bewitched Revetment	Chicken Invasion	28	45%	73%	Alpha Perseus	
Glum Reoccupation	Supernova	6	87%	93%	Epidaurus	
Made-up Poem	Supernova	6	89%	95%	Epidaurus	
Woozy Catbird	Supernova	14	36%	50%	Epidaurus	
Mean Entailment	Chicken Invasion	9	80%	89%	Epidaurus	
Sane Dreamworld	Boss Rush	8	76%	84%	Epidaurus	
Fair Inspection	Boss Rush	10	68%	78%	Epidaurus	
Loving Dishcloth	Chicken Invasion	12	74%	86%	Epidaurus	
Darling Pushrod	Chicken Invasion	5	86%	91%	Epidaurus	
Unfit Paddlewheel	Chicken Invasion	24	35%	59%	Epidaurus	
Grounded Recording	Boss Rush	9	48%	57%	Alpha Epidaurus	
Humming Elevator	Supernova	14	16%	30%	Cydippe	
Clear-cut Copyist	Chicken Invasion	8	76%	84%	Cydippe	
Shrill Chigger	Chicken Invasion	20	14%	34%	Cydippe	
Memorable Ambassadorship	Chicken Invasion	6	6%	12%	Cydippe	
Burdensome Pie	Chicken Invasion	10	50%	60%	Cydippe	
Awful Instigation	Chicken Invasion	15	10%	25%	Cydippe	
Unruly Frosh	Boss Rush	9	42%	51%	Cydippe	
Remorseful Gazette	Darkness	7	38%	45%	Alpha Cydippe	
Delirious Hydrogel	Chicken Invasion	32	2%	34%	Psi Cydippe	
Keen Wheatgrass	Chicken Invasion	18	5%	23%	Psi Cydippe	
Rotating Stewpot	Double Team	6	57%	63%	Psi Cydippe	U.C.O. 1 + U.C.O. 4
Questionable Drabness	Chicken Invasion	21	16%	37%	Psi Cydippe	
Peaceful Examination	Squawk Block	10	60%	70%	Chi Cydippe	
Adept Fantasia	Squawk Block	14	95%	100%	Chi Cydippe	
Nonstop Acequia	Chicken Invasion	16	68%	84%	Chi Cydippe	
Cheery Hotel	Darkness	14	73%	87%	Chi Cydippe	
Brown Region	Chicken Invasion	14	27%	41%	Phi Cydippe	
Rectangular Chocolate	Chicken Invasion	32	96%	100%	Phi Cydippe	
Grown Opacification	Chicken Invasion	24	8%	32%	Epsilon Cydippe	
Light Workpiece	Chicken Invasion	20	85%	100%	Epsilon Cydippe	
Sad Salad	Supernova	15	99%	100%	Eetion	
Famous Tipster	Chicken Invasion	21	57%	78%	Eetion	
Diligent Confederacy	Boss Rush	10	67%	77%	Eetion	
Tidy Basket	Chicken Invasion	21	1%	22%	Eetion	
Agile Tidewater	Chicken Invasion	30	29%	59%	Eetion	
Scared Professor	Squawk Block	20	48%	68%	Alpha Eetion	
Frizzy Prequel	Boss Rush	4	56%	60%	Gamma Eetion	
Shameless Isinglass	Chicken Invasion	10	59%	69%	Gamma Eetion	
Slushy Tinware	Meteor Storm	12	82%	94%	Huvi Ovimbundu	
Ill-fated Reception	Supernova	11	96%	100%	Antiphates	
Stupendous Scrunchie	Supernova	14	50%	64%	Antiphates	
Made-up Woodlot	Chicken Invasion	24	25%	49%	Antiphates	
Squiggly Astrobiologist	Boss Rush	6	48%	54%	Antiphates	
Joyful Demonstrability	Chicken Invasion	15	79%	94%	Antiphates	
Confused Tunica	Chicken Invasion	9	16%	25%	Antiphates	
Scarce Speech	Chicken Invasion	32	20%	52%	Antiphates	
Conventional Pointlessness	Chicken Invasion	7	70%	77%	Antiphates	
Impartial Furrier	Chicken Invasion	24	65%	89%	Alpha Antiphates	
Pointed Astuteness	Chicken Invasion	18	75%	93%	Alpha Antiphates	
Key Lightship	Chicken Invasion	24	18%	42%	Alpha Antiphates	
Mealy Backgrounder	Double Team	5	66%	71%	Psi Antiphates	Sweater + Laser Crab
Quarterly Exceptionality	Chicken Invasion	30	83%	100%	Chi Antiphates	
Quarterly Reoccupation	Squawk Block	18	28%	46%	Chi Antiphates	
Delicious Interdict	Chicken Invasion	6	85%	91%	Phi Antiphates	
Double Pizza	Chicken Invasion	10	47%	57%	Phi Antiphates	
Worthy Furball	Chicken Invasion	16	1%	17%	Phi Antiphates	
Glittering Proposal	Chicken Invasion	15	89%	100%	Upsilon Antiphates	
Mixed Snooper	Feather Fields	12	10%	22%	Upsilon Antiphates	
Fruitful Town	Squawk Block	8	46%	54%	Upsilon Antiphates	
Spectacular Beriberi	Chicken Invasion	6	96%	100%	Upsilon Antiphates	
Ambitious Hovercraft	Chicken Invasion	32	22%	54%	Upsilon Antiphates	
Masculine Stylization	Feather Fields	5	42%	47%	Tau Antiphates	
Conventional Disputation	Chicken Invasion	28	96%	100%	Eta Antiphates	
Unhappy Hopefulness	Supernova	6	50%	56%	Bucolion	
Informal Redolence	Supernova	15	81%	96%	Bucolion	
Minty Cliffside	Supernova	10	18%	28%	Bucolion	
Overlooked Counteroffer	Squawk Block	12	26%	38%	Bucolion	
Weepy Molehill	Comet Chase	12	43%	55%	Alpha Bucolion	
Precious Outcome	Chicken Invasion	12	76%	88%	Alpha Bucolion	
Rotating Dressage	Boss Rush	4	74%	78%	Alpha Bucolion	
Quixotic Assonance	Chicken Invasion	12	55%	67%	Alpha Bucolion	
Unpleasant Guitar	Chicken Invasion	24	92%	100%	Beta Bucolion	
Well-lit Tondo	Squawk Block	6	19%	25%	Beta Bucolion	
Broken Obtuseness	Chicken Invasion	5	20%	25%	Beta Bucolion	
Silly Shuffleboard	Squawk Block	9	23%	32%	Beta Bucolion	
Ugly Implicature	Darkness	21	49%	70%	Gamma Bucolion	
Outlying Sonority	Squawk Block	6	7%	13%	Gamma Bucolion	
Smooth Technics	Boss Rush	10	43%	53%	Gamma Bucolion	
Stained Subsumption	Chicken Invasion	18	79%	97%	Gamma Bucolion	
Dizzy Muskmelon	Supernova	13	66%	79%	Agathodaemon	
Wretched Krater	Supernova	12	52%	64%	Agathodaemon	
Moist Reaction	Supernova	14	66%	80%	Agathodaemon	
Messy Unkindness	Boss Rush	7	47%	54%	Agathodaemon	
Scented Wainscot	Chicken Invasion	5	36%	41%	Agathodaemon	
Big Preparation	Chicken Invasion	24	46%	70%	Agathodaemon	
Hidden Guano	Squawk Block	12	69%	81%	Agathodaemon	
Distorted Retake	Chicken Invasion	10	34%	44%	Agathodaemon	
Responsible Counterforce	Boss Rush	4	5%	9%	Agathodaemon	
Calm Underline	Squawk Block	19	20%	39%	Alpha Agathodaemon	
Every Canoeist	Chicken Invasion	9	86%	95%	Alpha Agathodaemon	
Peaceful Conceptualist	Darkness	5	27%	32%	Alpha Agathodaemon	
Excellent Demagogy	Chicken Invasion	15	86%	100%	Alpha Agathodaemon	
Possible Mandoline	Chicken Invasion	16	73%	89%	Alpha Agathodaemon	
Frightened Interdict	Darkness	16	13%	29%	Alpha Agathodaemon	
Immaterial Attender	Chicken Invasion	21	91%	100%	Beta Agathodaemon	
Adventurous Dreamworld	Chicken Invasion	10	45%	55%	Beta Agathodaemon	
Careful Towpath	Chicken Invasion	20	35%	55%	Beta Agathodaemon	
Delightful Centurion	Comet Chase	13	59%	72%	Gamma Agathodaemon	
Yummy Obtuseness	Feather Fields	15	1%	16%	Gamma Agathodaemon	
Worthy Moonlet	Chicken Invasion	8	54%	62%	Gamma Agathodaemon	
Skinny Tennis	Darkness	10	92%	100%	Delta Agathodaemon	
Grave Flyboy	Chicken Invasion	20	54%	74%	Delta Agathodaemon	
Double Hovercraft	Boss Rush	7	20%	27%	Delta Agathodaemon	
Cloudy Creel	Supernova	7	38%	45%	Deipneus	
Secondary Creel	Supernova	10	17%	27%	Deipneus	
Shy Interconnectivity	Supernova	14	80%	94%	Deipneus	
Upset Hermeneutic	Chicken Invasion	18	62%	80%	Deipneus	
Forthright Canebrake	Darkness	24	30%	54%	Alpha Deipneus	
Zigzag Replicant	Comet Chase	15	54%	69%	Alpha Deipneus	
Wooden Tension	Squawk Block	19	41%	60%	Alpha Deipneus	
Immense Somnolence	Chicken Invasion	28	88%	100%	Alpha Deipneus	
Untried Anklet	Chicken Invasion	24	79%	100%	Alpha Deipneus	
Embarrassed Flunkie	Comet Chase	13	28%	41%	Beta Deipneus	
Irritating Peoplehood	Chicken Invasion	20	44%	64%	Beta Deipneus	
Wild Shopgirl	Chicken Invasion	30	75%	100%	Beta Deipneus	
Unfortunate Wedding	Supernova	7	83%	90%	Lelantos	
Exotic Cryopreservation	Feather Fields	11	16%	27%	Lelantos	
